country,country_id,admin1,admin1_id,admin2,admin2_id,admin3,admin3_id
South Africa,Q258,Eastern Cape,Q130840,Amathole District Municipality,Q455705,Mbhashe Local Municipality,Q1642573
South Africa,Q258,Eastern Cape,Q130840,Amathole District Municipality,Q455705,Mnquma Local Municipality,Q1941297
South Africa,Q258,Eastern Cape,Q130840,Amathole District Municipality,Q455705,Ngqushwa Local Municipality,Q1984351
South Africa,Q258,Eastern Cape,Q130840,Amathole District Municipality,Q455705,Nkonkobe Local Municipality,Q1994391
Thailand,Q869,Songkhla,Q235574,Thepha,Q74201,Ko Saba,Q56477030
Thailand,Q869,Songkhla,Q235574,Thepha,Q74201,Lam Phlai,Q56477032
Thailand,Q869,Songkhla,Q235574,Thepha,Q74201,Tha Muang,Q56477033
Thailand,Q869,Songkhla,Q235574,Thepha,Q74201,Wang Yai,Q56477037
Thailand,Q869,Songkhla,Q235574,Thepha,Q74201,Sakom,Q56477039
Chile,Q298,Atacama Region,Q2120,Huasco Province,Q74294,Vallenar,Q23660268
Chile,Q298,Atacama Region,Q2120,Copiapó Province,Q74292,Copiapó,Q23660229
Chile,Q298,Atacama Region,Q2120,Huasco Province,Q74294,Alto del Carmen,Q2215
Chile,Q298,Atacama Region,Q2120,Huasco Province,Q74294,Freirina,Q13051
Chile,Q298,Atacama Region,Q2120,Huasco Province,Q74294,Huasco,Q14422
Chile,Q298,Atacama Region,Q2120,Copiapó Province,Q74292,Caldera,Q3708
Thailand,Q869,Songkhla,Q235574,Chana,Q74204,Nam Khao,Q13015072
Thailand,Q869,Songkhla,Q235574,Chana,Q74204,Ban Na,Q19969290
Thailand,Q869,Songkhla,Q235574,Chana,Q74204,Pa Ching,Q19969291
Thailand,Q869,Songkhla,Q235574,Chana,Q74204,Saphan Mai Kaen,Q19969292
Thailand,Q869,Songkhla,Q235574,Chana,Q74204,Sakom,Q19969293
Thailand,Q869,Songkhla,Q235574,Chana,Q74204,Na Wa,Q19969294
Thailand,Q869,Songkhla,Q235574,Chana,Q74204,Na Thap,Q19969296
